,Unnamed: 0,form,var_name,description,var_type,source,type,subtype
0,0,"1
Form header",NACCID,Subject ID,Derived variable,v1–10,method,method
3,3,"2
Subject 
demographics",NPSEX,Subject’s sex,Original NP question,v1–10,x,genetics
4,4,"2
Subject 
demographics",NACCDAGE,Age at death,Derived variable,"v1–10, 
Milestones",x,death
5,5,"2
Subject 
demographics",NACCMOD,Month of death,Derived variable,"v1–10, 
Milestones",x,death
6,6,"2
Subject 
demographics",NACCYOD,Year of death,Derived variable,"v1–10, 
Milestones",x,death
7,7,"2
Subject 
demographics",NACCINT,Time interval between last visit and death,Derived variable,"v1–10, 
Milestones",x,death
8,8,"3
Brain autopsy 
details",NPPMIH,Postmortem interval (PMI) (hours),Original NP question,v10,x,death
144,145,"11
Other pathologic 
diagnoses",NACCDOWN,Down syndrome,Derived variable,v1–10,x,genetics
145,146,"11
Other pathologic 
diagnoses",NPPDXP,AD-related genes,Original NP question,v10,x,genetics
146,147,"11
Other pathologic 
diagnoses",NPPDXQ,FTLD-related genes,Original NP question,v10,x,genetics
164,168,"App. 
Glossary of other 
A
available NP data",NPLEWYCS,DLB clinical syndrome due to DLB pathology,Original NP question,v9,x,diagnosis
173,178,"App. 
Glossary of other 
A
available NP data",NPPAD,Alzheimer’s disease — primary,Original NP question,v8–9,x,diagnosis
196,207,Form header,NACCVNUM,UDS visit number (order),NACC derived variable,v1-3,method,method
217,230,"A1
Subject Demographics",SEX,Subject’s sex,Original UDS question,v1-3,x,reported
218,231,"A1
Subject Demographics",HISPANIC,Hispanic/Latino ethnicity,Original UDS question,v1-3,x,reported
219,233,"A1
Subject Demographics",HISPOR,Hispanic origins,Original UDS question,v1-3,x,reported
220,235,"A1
Subject Demographics",RACE,Race,Original UDS question,v1-3,x,reported
221,237,"A1
Subject Demographics",RACESEC,Second race,Original UDS question,v1-3,x,reported
222,239,"A1
Subject Demographics",RACETER,Third race,Original UDS question,v1-3,x,reported
223,241,"A1
Subject Demographics",PRIMLANG,Primary language,Original UDS question,v1-3,x,reported
224,243,"A1
Subject Demographics",EDUC,Years of education,Original UDS question,v1-3,x,reported
225,244,"A1
Subject Demographics",MARISTAT,Marital status,Original UDS question,v1-3,x,reported
226,245,"A1
Subject Demographics",NACCLIVS,Living situation,NACC derived variable,v1-3,x,reported
227,246,"A1
Subject Demographics",INDEPEND,Level of independence,Original UDS question,v1-3,x,reported
228,247,"A1
Subject Demographics",RESIDENC,Type of residence,Original UDS question,v1-3,x,reported
