,form,var_name,description,var_type,source,type,subtype
0,"1
Form header",NACCID,Subject ID,Derived variable,v1–10,method,method
1,"1
Form header",NACCADC,ADC at which subject was seen,Derived variable,v1–10,method,method
2,"1
Form header",NPFORMVER,NP form version,Original NP question,v8–10,method,method
3,"2
Subject 
demographics",NPSEX,Subject’s sex,Original NP question,v1–10,x,genetics
4,"2
Subject 
demographics",NACCDAGE,Age at death,Derived variable,"v1–10, 
Milestones",x,death
5,"2
Subject 
demographics",NACCMOD,Month of death,Derived variable,"v1–10, 
Milestones",x,death
6,"2
Subject 
demographics",NACCYOD,Year of death,Derived variable,"v1–10, 
Milestones",x,death
7,"2
Subject 
demographics",NACCINT,Time interval between last visit and death,Derived variable,"v1–10, 
Milestones",x,death
8,"3
Brain autopsy 
details",NPPMIH,Postmortem interval (PMI) (hours),Original NP question,v10,x,death
9,"3
Brain autopsy 
details",NPFIX,Fixative,Original NP question,v10,method,method
10,"3
Brain autopsy 
details",NPFIXX,Fixative other specify,Original NP question,v10,method,method
11,"4
Gross findings and 
overall impressions",NPWBRWT,Whole brain weight (grams),Original NP question,v10,y,y
12,"4
Gross findings and 
overall impressions",NPWBRF,Fresh or fixed brain weight,Original NP question,v10,y,y
13,"4
Gross findings and 
overall impressions",NACCBRNN,No major neuropathologic change present,Derived variable,v1–10,y,y
14,"4
Gross findings and 
overall impressions",NPGRCCA,Severity of gross findings — cerebral cortex atrophy,Original NP question,v10,y,y
15,"4
Gross findings and 
overall impressions",NPGRLA,Severity of gross findings — lobar atrophy,Original NP question,v10,y,y
16,"4
Gross findings and 
overall impressions",NPGRHA,Severity of gross findings — hippocampus atrophy,Original NP question,v10,y,y
17,"4
Gross findings and 
overall impressions",NPGRSNH,"Severity of gross findings — substantia nigra 
hypopigmentation",Original NP question,v10,y,y
18,"4
Gross findings and 
overall impressions",NPGRLCH,"Severity of gross findings — I. (locus) ceruleus 
hypopigmentation",Original NP question,v10,y,y
19,"4
Gross findings and 
overall impressions",NACCAVAS,"Severity of gross findings — atherosclerosis of the 
circle of Willis",Derived variable,v1–10,y,y
20,"5
Methods for  
scoring case",NPTAN,Method for scoring case — tau antibody,Original NP question,v10,method,method
21,"5
Methods for  
scoring case",NPTANX,"Method for scoring case — tau antibody other 
specify",Original NP question,v10,method,method
22,"5
Methods for  
scoring case",NPABAN,Method for scoring case — amyloid beta antibody,Original NP question,v10,method,method
23,"5
Methods for  
scoring case",NPABANX,"Method for scoring case — amyloid beta antibody 
other specify",Original NP question,v10,method,method
24,"5
Methods for  
scoring case",NPASAN,"Method for scoring case — alpha synuclein 
antibody",Original NP question,v10,method,method
25,"5
Methods for  
scoring case",NPASANX,"Method for scoring case — alpha synuclein 
antibody other specify",Original NP question,v10,method,method
